                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 2.0745,                 2.3114,                  1.918,                 0.9146,                0.34707,                0.31303,                0.29995,                 0.1406,                0.33478,                0.29871,                0.27617,                0.11396,                 1.9325,                 2.3448,                 2.3051,                0.92642,             0.00068456,             0.00068456,             0.00068456
                     38,                 1.9555,                 2.2364,                 1.9131,                0.91863,                0.27493,                0.34457,                0.25255,                0.12509,                0.23946,                0.32471,                0.23926,                0.09995,                 1.9266,                 2.3046,                 2.3076,                0.92518,             0.00068044,             0.00068044,             0.00068044
                     39,                 1.9526,                  2.258,                 1.8439,                0.92822,                0.44483,                0.24457,                0.28516,                 0.1376,                0.39546,                0.29736,                0.27212,                0.12056,                 1.9216,                  2.284,                 2.3152,                0.92398,             0.00067631,             0.00067631,             0.00067631
                     40,                 1.9907,                 2.3693,                 1.9732,                0.93579,                0.70673,                0.24042,                 0.2721,                0.13062,                0.69276,                0.22187,                0.28885,                0.11675,                 1.9269,                  2.312,                 2.4718,                0.92522,             0.00067219,             0.00067219,             0.00067219
                     41,                 1.7338,                  2.085,                 1.8577,                 0.9168,                0.66518,                0.21906,                0.24991,                0.12459,                0.67832,                0.25202,                0.29919,                 0.1177,                 1.9683,                 2.3653,                 2.5106,                0.93226,             0.00066807,             0.00066807,             0.00066807
                     42,                 1.9872,                 2.3123,                 1.8726,                0.93194,                0.47665,                0.27532,                0.25453,                0.12757,                0.50796,                0.30616,                0.31095,                 0.1276,                 1.9369,                 2.3235,                 2.4445,                0.92907,             0.00066394,             0.00066394,             0.00066394
                     43,                 1.9208,                  2.282,                 1.8588,                 0.9327,                0.48357,                0.29859,                0.33043,                 0.1416,                0.45832,                0.32761,                0.32981,                 0.1388,                 1.8928,                 2.2635,                 2.3953,                0.91751,             0.00065982,             0.00065982,             0.00065982
                     44,                 2.0182,                 2.3572,                 1.9176,                0.93615,                0.47527,                0.30923,                0.34135,                0.15495,                 0.4493,                0.29559,                0.32174,                0.14092,                 1.8727,                 2.2603,                 2.3946,                0.91444,              0.0006557,              0.0006557,              0.0006557
                     45,                  1.933,                 2.1862,                 1.8504,                0.91082,                0.57633,                 0.2843,                 0.3422,                0.15786,                0.47772,                0.24138,                0.28685,                0.13372,                  1.888,                 2.2395,                 2.3928,                0.92044,             0.00065157,             0.00065157,             0.00065157
                     46,                 2.0181,                 2.3444,                 1.7155,                0.92163,                0.33702,                0.38477,                0.29559,                0.14241,                0.28869,                0.34969,                0.25942,                0.10791,                 1.8862,                 2.1874,                 2.3371,                0.92211,             0.00064745,             0.00064745,             0.00064745
                     47,                 1.9783,                  2.227,                 1.7492,                0.92156,                0.27203,                0.46299,                0.27118,                0.13258,                0.26177,                0.42673,                0.24173,                0.09774,                 1.8827,                 2.1905,                 2.2941,                0.92188,             0.00064333,             0.00064333,             0.00064333
                     48,                 2.1111,                 2.5617,                 1.8707,                0.92852,                0.25766,                0.48658,                0.29555,                0.14181,                0.24584,                0.48711,                0.31062,                  0.122,                 1.8697,                 2.2306,                 2.1129,                0.92295,              0.0006392,              0.0006392,              0.0006392
                     49,                 1.7651,                 2.0351,                 1.7885,                0.92201,                0.27498,                0.47508,                0.35229,                0.16361,                0.25312,                 0.5007,                0.35688,                0.13432,                 1.8807,                 2.2596,                 2.1214,                0.92058,             0.00063508,             0.00063508,             0.00063508
                     50,                 1.8918,                 2.3071,                 1.7652,                0.93581,                0.30525,                0.48455,                0.38946,                0.19304,                 0.2625,                 0.4253,                0.32204,                0.13792,                 1.8818,                 2.2294,                 2.1842,                0.91694,             0.00063096,             0.00063096,             0.00063096
                     51,                 1.8895,                 2.2531,                 1.5754,                0.90414,                 0.4158,                0.43531,                0.39364,                0.19519,                0.37389,                0.37966,                0.31989,                0.13986,                 1.8769,                 2.2184,                 2.3203,                 0.9139,             0.00062683,             0.00062683,             0.00062683
                     52,                 1.8962,                 2.2382,                 1.5474,                0.89415,                0.45922,                0.35755,                0.38332,                0.17877,                0.43568,                0.29597,                0.32422,                0.13932,                 1.9153,                  2.187,                 2.3149,                0.91478,             0.00062271,             0.00062271,             0.00062271
                     53,                 1.8741,                   2.14,                 1.5675,                0.90766,                0.50358,                0.27842,                0.36422,                0.16193,                0.48604,                0.28029,                0.34615,                0.12847,                 1.9062,                 2.1997,                 2.2998,                 0.9163,             0.00061859,             0.00061859,             0.00061859
                     54,                 1.7529,                 2.1337,                 1.6997,                0.91235,                0.45988,                0.26119,                0.32116,                0.14898,                0.49345,                0.26969,                0.34805,                0.13256,                 1.8784,                 2.2348,                 2.3386,                0.91985,             0.00061446,             0.00061446,             0.00061446
                     55,                 1.8662,                 2.2423,                 1.5795,                0.91137,                0.48038,                0.28431,                0.32981,                0.15238,                0.49218,                0.28659,                0.33295,                0.13556,                 1.8645,                 2.2432,                  2.367,                0.91905,             0.00061034,             0.00061034,             0.00061034
                     56,                 1.7274,                   2.08,                 1.5481,                0.91751,                0.63564,                0.28573,                0.32786,                0.16658,                0.62481,                0.25859,                0.29335,                0.13299,                 1.8881,                 2.2664,                  2.362,                0.92121,             0.00060622,             0.00060622,             0.00060622
                     57,                 2.0654,                 2.2802,                 1.5818,                0.90933,                0.66695,                0.23534,                0.32952,                0.17525,                0.46835,                0.24701,                0.28351,                0.12156,                 1.8963,                 2.2536,                  2.366,                0.92535,             0.00060209,             0.00060209,             0.00060209
                     58,                 1.9217,                 2.2719,                 1.6612,                0.91671,                0.52353,                0.25376,                0.31529,                0.15782,                0.34471,                0.34928,                0.28756,                0.11172,                 1.8843,                 2.2522,                 2.4847,                0.92377,             0.00059797,             0.00059797,             0.00059797
                     59,                 1.9449,                 2.2366,                 1.6963,                0.90207,                0.31508,                0.37007,                0.30505,                0.14257,                 0.3032,                0.36466,                0.28106,                 0.1002,                 1.8651,                  2.294,                 2.5845,                0.92314,             0.00059385,             0.00059385,             0.00059385
